Timestamp,Latency (ms),Throughput (Mbps),CPU Usage (%),Memory Usage (%)
1734418191,11.2,0.09886926818814958,1.3,65.7
1734418192,12.7,0.009451478286877278,2.1,65.7
1734418193,16.1,0.11001453114754098,2.1,65.7
1734418194,5.75,0.1604470240475735,1.6,65.7
1734418195,3.75,0.009514590600552885,1.5,65.7
1734418196,12.7,0.1478500392559004,1.5,65.7
1734418197,22.8,0.007427885313545965,0.9,65.8
1734418198,33.5,0.0942405457850767,1.8,65.8
1734418199,6.71,0.012789780892397764,1.6,65.8
1734418200,59.0,0.010503197695264524,1.0,65.8
1734418201,71.8,0.11319131021454594,0.6,65.8
1734418202,86.5,0.13450924622090057,1.3,65.4
1734418203,68.9,0.10149779239492702,2.9,65.6
1734418204,7.16,0.11232873750715182,1.3,65.6
1734418205,6.89,0.08526504837323624,1.6,65.5
1734418206,6.85,0.13069698875385966,1.5,65.4
1734418207,7.1,0.13691825385049114,0.9,65.4
1734418208,9.6,0.13729105057207897,4.2,65.5
1734418209,20.5,0.11194444673597884,0.8,65.5
1734418210,15.3,0.08320155809025742,1.3,65.4
1734418211,92.0,0.14582658469902177,0.9,65.4
1734418212,6.67,0.22999099723336905,0.9,65.4
1734418213,9.95,0.13352244023846732,1.3,65.4
1734418214,5.6,0.12406680739495798,2.2,65.4
1734418225,0,0.22185148462481669,1.3,65.4
1734418227,355.0,0.16884354906589083,0.8,65.4
1734418228,323.0,0.05834520243055775,0.7,65.4
1734418229,128.0,0.2263465253759168,0.7,65.4
1734418230,336.0,0.228855873015873,0.9,65.4
1734418231,112.0,0.046543435474515144,0.7,65.4
1734418233,333.0,0.08964800155445449,0.3,65.4
1734418234,116.0,0.2257042976298217,0.6,65.4
1734418235,126.0,0.2245399391653486,0.8,65.4
1734418236,84.3,0.22365825920449864,0.8,65.4
1734418237,74.2,0.22584240050908022,0.8,65.4
1734418238,60.7,0.22468756209213986,0.8,65.4
1734418239,93.6,0.22421258170331673,0.4,65.4
1734418241,209.0,0.1685259305256237,0.5,65.4
1734418242,163.0,0.16712795769035718,0.9,65.4
1734418243,4.13,0.0674310618738262,0.7,65.4
1734418254,0,0.07006643178228648,0.3,65.4
1734418255,345.0,0.039352735616105354,3.5,66.0
1734418256,326.0,0.04451864603033695,1.2,65.9
1734418258,63.6,0.2282106346144334,4.4,67.0
1734418259,74.4,0.09348058757977915,16.2,68.0
1734418260,94.8,0.12167341965769139,1.6,67.8
1734418261,77.7,0.1145529446816963,0.8,67.8
1734418262,71.5,0.11045172904971093,0.8,67.7
1734418273,0,0.14899836589698046,1.5,67.7
1734418284,0,0.11335121244134339,0.8,67.7
1734418285,366.0,0.08334133075623877,1.4,67.7
1734418287,334.0,0.11388562401263823,1.5,67.7
1734418288,119.0,0.11233283989092326,0.6,67.7
1734418289,6.66,0.11216216071667336,0.7,67.7
1734418290,40.9,0.05468421308395707,0.7,67.7
1734418301,0,0.16895175040281235,0.6,67.6
1734418302,378.0,0.1349281862315026,0.8,67.6
1734418303,132.0,0.11220034775841733,1.1,67.6
1734418314,0,0.13563424270931326,0.6,67.6
